"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Minutes","Elapsed Seconds","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"Arizona","Pac-12","USC","Pac-12","401524025","40152402529","28","false","7","97","97","0","0","7","97","97","0","0","0","0","0","0","Uncategorized","false","41","43","41","43"
"Arizona State","Pac-12","Colorado","Pac-12","401524026","4015240261","1","true","1","34","66","14","52","1","100","0","10","23","4","29","9","66","TD","true","0","0","7","0"
"Colorado","Pac-12","Arizona State","Pac-12","401524026","4015240262","2","false","1","75","75","10","23","1","87","87","9","23","1","0","3","-12","PUNT","false","0","7","0","7"
"Arizona State","Pac-12","Colorado","Pac-12","401524026","4015240263","3","false","1","27","73","9","23","1","28","72","8","1","1","22","3","1","PUNT","true","7","0","7","0"
"Colorado","Pac-12","Arizona State","Pac-12","401524026","4015240264","4","true","1","75","75","8","1","1","0","0","2","3","5","58","16","75","TD","false","0","7","7","7"
"Arizona State","Pac-12","Colorado","Pac-12","401524026","4015240265","5","false","1","35","65","2","3","1","40","60","0","50","1","13","3","5","PUNT","true","7","7","7","7"
"Colorado","Pac-12","Arizona State","Pac-12","401524026","4015240266","6","false","1","90","90","0","50","2","84","84","14","5","1","45","5","6","PUNT","false","7","7","7","7"
"Arizona State","Pac-12","Colorado","Pac-12","401524026","4015240267","7","false","2","55","45","14","5","2","54","46","12","43","1","22","3","-1","PUNT","true","7","7","7","7"
"Colorado","Pac-12","Arizona State","Pac-12","401524026","4015240268","8","false","2","87","87","12","43","2","80","80","11","28","1","15","3","7","PUNT","false","7","7","7","7"
"Arizona State","Pac-12","Colorado","Pac-12","401524026","4015240269","9","true","2","41","59","11","28","2","100","0","6","38","4","50","9","59","TD","true","7","7","14","7"
"Colorado","Pac-12","Arizona State","Pac-12","401524026","40152402610","10","false","2","75","75","6","38","2","77","77","5","10","1","28","3","-2","PUNT","false","7","14","7","14"
"Arizona State","Pac-12","Colorado","Pac-12","401524026","40152402611","11","false","2","19","81","5","10","2","28","72","3","3","2","7","3","9","PUNT","true","14","7","14","7"
"Colorado","Pac-12","Arizona State","Pac-12","401524026","40152402612","12","true","2","81","81","3","3","2","0","0","0","54","2","9","9","81","TD","false","7","14","14","14"
"Arizona State","Pac-12","Colorado","Pac-12","401524026","40152402613","13","true","2","37","63","0","50","2","85","15","0","0","0","50","7","48","FG","true","14","14","17","14"
"Colorado","Pac-12","Arizona State","Pac-12","401524026","40152402614","14","false","3","75","75","15","0","3","72","72","13","48","1","12","3","3","PUNT","false","14","17","14","17"
"Arizona State","Pac-12","Colorado","Pac-12","401524026","40152402615","15","false","3","20","80","13","48","3","59","41","8","16","5","32","10","39","PUNT","true","17","14","17","14"
"Colorado","Pac-12","Arizona State","Pac-12","401524026","40152402616","16","false","3","90","90","8","16","3","71","71","5","4","3","12","9","19","PUNT","false","14","17","14","17"
"Arizona State","Pac-12","Colorado","Pac-12","401524026","40152402617","17","false","3","8","92","5","4","3","19","81","1","7","3","57","7","11","PUNT","true","17","14","17","14"
"Colorado","Pac-12","Arizona State","Pac-12","401524026","40152402618","18","true","3","61","61","1","7","4","0","0","14","32","1","35","7","61","TD","false","14","17","21","17"
"Arizona State","Pac-12","Colorado","Pac-12","401524026","40152402619","19","false","4","25","75","14","32","4","27","73","12","7","2","25","3","2","PUNT","true","17","21","17","21"
"Colorado","Pac-12","Arizona State","Pac-12","401524026","40152402620","20","true","4","25","25","12","7","4","24","24","10","13","1","54","4","1","FG","false","21","17","24","17"
"Arizona State","Pac-12","Colorado","Pac-12","401524026","40152402621","21","false","4","35","65","10","13","4","66","34","6","32","3","41","9","31","MISSED FG","true","17","24","17","24"
"Colorado","Pac-12","Arizona State","Pac-12","401524026","40152402622","22","false","4","66","66","6","32","4","45","45","3","26","3","6","7","21","PUNT","false","24","17","24","17"
"Arizona State","Pac-12","Colorado","Pac-12","401524026","40152402623","23","true","4","6","94","3","26","4","100","0","0","50","2","36","13","94","TD","true","17","24","24","24"
"Colorado","Pac-12","Arizona State","Pac-12","401524026","40152402624","24","true","4","75","75","0","50","4","25","25","0","12","0","38","5","50","FG","false","24","24","27","24"
"Arizona State","Pac-12","Colorado","Pac-12","401524026","40152402625","25","false","4","17","83","0","9","4","30","70","0","0","0","9","2","13","END OF GAME","true","24","27","24","27"
"California","Pac-12","Oregon State","Pac-12","401524027","4015240271","1","false","1","25","75","15","0","1","53","47","12","56","2","4","7","28","DOWNS","true","0","0","0","0"
"Oregon State","Pac-12","California","Pac-12","401524027","4015240272","2","true","1","53","53","12","56","1","0","0","7","42","5","14","9","53","TD","false","0","0","7","0"
"California","Pac-12","Oregon State","Pac-12","401524027","4015240273","3","false","1","25","75","7","42","1","62","38","5","39","2","3","6","37","PUNT","true","0","7","0","7"
"Oregon State","Pac-12","California","Pac-12","401524027","4015240274","4","false","1","91","91","5","39","1","85","85","3","40","1","59","3","6","PUNT","false","7","0","7","0"
"California","Pac-12","Oregon State","Pac-12","401524027","4015240275","5","true","1","43","57","3","40","2","97","3","14","58","3","42","9","54","FG","true","0","7","3","7"
"Oregon State","Pac-12","California","Pac-12","401524027","4015240276","6","true","2","26","26","14","46","2","0","0","12","24","2","22","4","26","TD","false","7","3","14","3"
"California","Pac-12","Oregon State","Pac-12","401524027","4015240277","7","true","2","81","19","12","19","2","100","0","11","16","1","3","5","19","TD","true","3","14","10","14"
"Oregon State","Pac-12","California","Pac-12","401524027","4015240278","8","false","2","60","60","11","10","2","42","42","10","48","0","22","1","18","FUMBLE","false","14","10","14","10"
"California","Pac-12","Oregon State","Pac-12","401524027","4015240279","9","true","2","51","49","10","48","2","100","0","8","9","2","39","7","49","TD","true","10","14","17","14"
"Oregon State","Pac-12","California","Pac-12","401524027","40152402710","10","true","2","75","75","8","4","2","0","0","2","0","6","4","11","75","TD","false","14","17","21","17"
"California","Pac-12","Oregon State","Pac-12","401524027","40152402711","11","false","2","25","75","2","0","2","34","66","0","8","1","52","3","9","PUNT","true","17","21","17","21"
"Oregon State","Pac-12","California","Pac-12","401524027","40152402712","12","false","2","77","77","0","8","2","78","78","0","0","0","8","1","-1","END OF HALF","false","21","17","21","17"
"Oregon State","Pac-12","California","Pac-12","401524027","40152402713","13","true","3","50","50","14","52","3","0","0","13","32","1","20","3","50","TD","false","21","17","28","17"
"California","Pac-12","Oregon State","Pac-12","401524027","40152402714","14","true","3","25","75","13","32","3","100","0","9","53","3","39","10","75","TD","true","17","28","24","28"
"Oregon State","Pac-12","California","Pac-12","401524027","40152402715","15","true","3","66","66","9","49","3","0","0","5","40","4","9","9","66","TD","false","28","24","35","24"
"California","Pac-12","Oregon State","Pac-12","401524027","40152402716","16","true","3","25","75","5","40","3","100","0","2","45","2","55","8","75","TD","true","24","35","32","35"
"Oregon State","Pac-12","California","Pac-12","401524027","40152402717","17","true","3","64","64","2","44","4","0","0","14","25","3","19","9","64","TD","false","35","32","42","32"
"California","Pac-12","Oregon State","Pac-12","401524027","40152402718","18","false","4","25","75","14","25","4","49","51","14","0","0","25","2","24","FUMBLE","true","32","42","32","42"
"Oregon State","Pac-12","California","Pac-12","401524027","40152402719","19","true","4","49","49","14","0","4","0","0","12","32","1","28","4","49","TD","false","42","32","49","32"
"California","Pac-12","Oregon State","Pac-12","401524027","40152402720","20","false","4","25","75","12","32","4","53","47","11","37","0","55","4","28","INT","true","32","49","32","49"
"Oregon State","Pac-12","California","Pac-12","401524027","40152402721","21","true","4","75","75","11","37","4","14","14","2","25","9","12","16","61","FG","false","49","32","52","32"
"California","Pac-12","Oregon State","Pac-12","401524027","40152402722","22","true","4","25","75","2","25","4","100","0","1","4","1","21","5","75","TD","true","32","52","40","52"
"Oregon State","Pac-12","California","Pac-12","401524027","40152402723","23","false","4","42","42","1","4","4","35","35","0","0","1","4","2","7","END OF GAME","false","52","40","52","40"
"Washington State","Pac-12","UCLA","Pac-12","401524028","4015240281","1","false","1","75","75","15","0","1","69","69","14","12","0","48","3","6","PUNT","false","0","0","0","0"
"UCLA","Pac-12","Washington State","Pac-12","401524028","4015240282","2","false","1","27","73","14","2","1","28","72","12","59","1","3","3","1","INT","true","0","0","0","0"
"Washington State","Pac-12","UCLA","Pac-12","401524028","4015240283","3","true","1","19","19","12","59","1","15","15","11","56","1","3","4","4","FG","false","0","0","3","0"
"UCLA","Pac-12","Washington State","Pac-12","401524028","4015240284","4","false","1","25","75","11","56","1","71","29","6","43","5","13","15","46","MISSED FG","true","0","3","0","3"
